Temperature,Humidity,WindSpeed,Pressure,Visibility,Cluster
9.472222222,0.89,14.1197,1015.13,15.8263,0
9.355555556,0.86,14.2646,1015.63,15.8263,0
9.377777778,0.89,3.9284,1015.94,14.9569,0
8.288888889,0.83,14.1036,1016.41,15.8263,0
8.755555556,0.83,11.0446,1016.51,15.8263,0
9.222222222,0.85,13.9587,1016.66,14.9569,0
7.733333333,0.95,12.3648,1016.72,9.982,0
8.772222222,0.89,14.1519,1016.84,9.982,0
10.82222222,0.82,11.3183,1017.37,9.982,0
13.77222222,0.72,12.5258,1017.22,9.982,0
16.01666667,0.67,17.5651,1017.42,11.2056,0
17.14444444,0.54,19.7869,1017.74,11.4471,1
17.8,0.55,21.9443,1017.59,11.27,1
17.33333333,0.51,20.6885,1017.48,11.27,1
18.87777778,0.47,15.3755,1017.17,11.4471,1
18.91111111,0.46,10.4006,1016.47,11.27,1
15.38888889,0.6,14.4095,1016.15,11.27,1
15.55,0.63,11.1573,1016.17,11.4471,0
14.25555556,0.69,8.5169,1015.82,11.2056,0
13.14444444,0.7,7.6314,1015.83,11.2056,0
11.55,0.77,7.3899,1015.85,11.0285,0
11.18333333,0.76,4.9266,1015.77,9.982,0
10.11666667,0.79,6.6493,1015.4,15.8263,0
10.2,0.77,3.9284,1015.51,14.9569,0
10.42222222,0.62,16.9855,1014.4,15.8263,0
9.911111111,0.66,17.2109,1014.2,15.8263,0
11.18333333,0.8,10.8192,1008.71,14.9569,0
7.155555556,0.79,11.0768,1014.47,15.8263,0
6.111111111,0.82,6.6493,1014.45,15.8263,0
6.788888889,0.83,13.0088,1014.49,14.9569,0
7.261111111,0.85,11.1734,1014.52,6.1985,2
7.8,0.83,12.8156,1014.16,8.05,0
9.872222222,0.78,13.7494,1014.24,9.982,0
12.22222222,0.72,15.6331,1014.25,9.982,0
15.09444444,0.61,17.549,1013.96,9.982,1
17.35555556,0.52,22.7815,1013.85,9.982,1
19.00555556,0.46,23.8924,1013.04,9.982,1
21.18333333,0.37,25.6956,1010.52,9.982,1
20.11666667,0.4,25.3092,1009.83,9.982,1
20.21666667,0.36,18.1125,1009.26,10.3523,1
20.0,0.43,23.4255,1008.76,9.982,1
17.8,0.5,20.0445,1008.36,11.2056,1
16.06111111,0.53,21.3969,1008.11,9.982,1
15.02222222,0.55,21.3808,1008.15,9.982,1
14.42222222,0.58,20.0123,1007.85,15.8263,1
14.25555556,0.59,16.5025,1007.89,14.9569,0
13.77222222,0.6,17.0982,1007.36,15.8263,0
13.28333333,0.63,14.3612,1007.26,15.8263,0
8.633333333,0.87,22.0409,1005.1,6.6976,0
11.25,0.83,11.3344,1007.01,15.8263,0
11.18333333,0.89,11.2056,1006.73,9.9015,0
10.69444444,0.95,10.4006,1006.59,6.6976,0
11.11111111,0.93,12.0106,1006.34,5.9731,0
11.11111111,0.93,9.2092,1006.09,10.8031,0
12.16666667,0.82,9.9015,1005.97,10.6743,0
12.75555556,0.79,13.8299,1005.63,10.8192,0
13.83888889,0.84,9.0965,1005.83,10.8192,0
16.18333333,0.73,0.644,1005.97,10.7548,0
17.51666667,0.67,0.6762,1005.64,10.8997,0
17.38333333,0.67,3.864,1005.2,10.8514,0
17.36111111,0.71,7.8246,1005.1,11.0768,0
17.20555556,0.74,15.5848,1004.65,10.8514,0
15.63333333,0.81,23.6992,1004.04,10.8836,0
13.57777778,0.9,20.9622,1004.08,7.6153,0
10.91111111,0.86,22.3951,1004.61,2.6565,0
8.8,0.99,26.5006,1004.99,2.6565,0
8.961111111,0.93,23.2162,1004.85,3.8157,0
8.2,0.96,25.4219,1004.96,4.4919,0
7.766666667,0.96,19.2878,1005.05,5.6833,0
8.2,0.96,20.447,1004.8,3.1073,0
7.311111111,0.82,6.7459,1007.0,14.0553,0
7.644444444,0.93,14.9086,1004.3,6.118,0
6.622222222,0.93,25.0355,1003.68,6.118,0
6.683333333,0.93,19.8352,1003.86,6.1663,0
7.205555556,0.86,26.5328,1004.18,11.27,0
11.06666667,0.71,25.6956,1003.93,11.27,0
10.11666667,0.76,25.3414,1004.0,11.27,0
11.03888889,0.66,21.413,1004.3,9.982,0
10.65,0.7,17.8549,1004.0,14.9086,0
10.05,0.7,15.1984,1004.39,9.982,0
9.9,0.66,15.7297,1005.48,11.0285,0
8.794444444,0.71,12.3648,1005.89,9.982,0
7.827777778,0.72,13.8943,1006.37,15.8263,0
7.855555556,0.72,9.8049,1006.56,15.0052,0
7.316666667,0.75,6.6654,1007.07,15.8746,0
7.244444444,0.75,7.1162,1007.37,15.8746,0
5.438888889,0.88,3.7191,1012.23,9.982,0
7.2,0.76,14.4739,1007.28,15.8263,0
6.688888889,0.7,20.5275,1007.18,15.8263,0
6.211111111,0.73,19.3039,1007.39,14.9569,0
6.111111111,0.76,17.4363,1007.67,9.982,0
6.111111111,0.76,20.4148,1007.98,9.982,0
6.172222222,0.76,17.0499,1008.57,9.982,0
7.222222222,0.71,20.5114,1008.87,9.982,0
7.288888889,0.73,17.6456,1009.44,9.982,0
7.405555556,0.72,14.4095,1010.03,9.982,0
7.961111111,0.7,10.7548,1010.22,10.0464,0
8.033333333,0.7,4.8622,1010.39,10.0464,0
9.077777778,0.65,2.3828,1010.24,10.0303,0
9.05,0.62,0.322,1010.0,9.982,0
9.05,0.65,3.2522,1009.98,11.2056,0
9.183333333,0.65,3.0107,1010.05,11.0285,0
9.072222222,0.7,10.465,1010.1,9.982,0
7.983333333,0.75,7.3416,1010.39,9.982,0
8.072222222,0.75,9.5151,1010.91,9.982,0
7.894444444,0.82,9.9981,1011.32,9.982,0
7.311111111,0.83,13.685,1011.61,11.9784,0
7.338888889,0.84,11.5437,1011.97,14.168,0
6.622222222,0.85,12.719,1012.22,14.9086,0
6.066666667,0.88,12.8961,1012.74,14.9086,0
8.338888889,0.88,0.6923,1015.35,15.0052,0
5.183333333,0.91,5.5384,1013.29,9.982,0
3.722222222,0.94,5.2003,1013.39,9.982,0
4.855555556,0.93,5.6189,1013.45,5.9248,2
5.211111111,0.92,4.7656,1013.4,1.2236,2
6.255555556,0.92,7.9212,1013.81,7.2128,2
7.794444444,0.87,9.7566,1014.7,10.6743,0
10.05,0.76,9.6922,1014.67,11.2056,0
12.2,0.66,14.49,1014.66,9.982,0
12.7,0.63,20.3343,1014.8,11.0285,0
13.93333333,0.58,23.5865,1014.47,11.27,1
15.09444444,0.59,22.2985,1014.16,11.27,1
15.15,0.5,14.7154,1014.07,11.4471,1
